RecNum,EQID,EQName,Month,Day,Year,StationName,StaID,StaNetwork,StaSeqNum,StaLat,StaLong,M,Strike,Dip,Rake,EQmechanism,HypocenterLat,HypocenterLong,Zhyp,FiniteFaultModelFlag,Source_of_SourceParameters,Ztor,L,W,Repi,Rhyp,Rjb,Rrup,Rseis,Rx,Azimuth,Geology,Vs30,VsFlag,VsSource,VsReference,GroundMotionDataSource,PGA,T0.1S,T0.2S,T0.3S,T0.5S,T1.0S,T2.0S
1,1,San Simeon,12,23,2003,Santa Barbara - Courthouse,283,NP,5,34.423,-119.7,6.5,303,56,76,Reverse,35.706,-121.102,4.7,1,Rolandone et al. (2004),0,44,22,191.404,191.555,157.386,157.386,157.938,-39.783,-165.358,Qoa,514.99,1,NGA flatfile,PEER (2008),CESMD,0.012908338,0.013013839,0.014758049,0.019635682,0.024656439,0.025372623,0.033324766
2,1,San Simeon,12,23,2003,San Luis Obispo - Rec Center,1083,NP,19,35.285,-120.661,6.5,303,56,76,Reverse,35.706,-121.102,4.7,1,Rolandone et al. (2004),0,44,22,61.509,61.976,27.834,27.834,28.85,-10.985,-156.755,KJf,712.822,0,NGA flatfile,PEER (2008),CESMD,0.139227123,0.277740886,0.437208188,0.245275355,0.154657687,0.086757997,0.047496526
3,1,San Simeon,12,23,2003,Hollister - City Hall Annex,1575,NP,21,36.851,-121.402,6.5,303,56,76,Reverse,35.706,-121.102,4.7,1,Rolandone et al. (2004),0,44,22,129.869,130.091,117.552,118.958,118.958,95.322,48.876,Qoa,198.77,1,NGA flatfile,PEER (2008),CESMD,0.018965459,0.019981992,0.025342455,0.045423012,0.047482207,0.056509999,0.019503333
4,1,San Simeon,12,23,2003,Sunnyvale - Salsman Residence,1695,NP,30,37.402,-122.025,6.5,303,56,76,Reverse,35.706,-121.102,4.7,1,Rolandone et al. (2004),0,44,22,205.504,205.645,193.035,193.895,193.895,115.367,35.254,"Qal, deep (incl LA)",267.71,1,NGA flatfile,PEER (2008),CESMD,0.005000487,0.005107171,0.005161395,0.005934568,0.00767393,0.0107733,0.010798889
5,1,San Simeon,12,23,2003,Coalinga - Fire Station 39,1747,NP,37,36.137,-120.363,6.5,303,56,76,Reverse,35.706,-121.102,4.7,1,Rolandone et al. (2004),0,44,22,82.08,82.431,69.94,72.279,72.279,82.242,90,"Qal, thin",338.539,0,CGS geologic map,Jennings and Strand (1958),CESMD,0.02616264,0.029622626,0.039369785,0.047070373,0.078199425,0.047533146,0.01473092
6,1,San Simeon,12,23,2003,Fresno - USGS NSMP Office,1748,NP,38,36.774,-119.728,6.5,303,56,76,Reverse,35.706,-121.102,4.7,1,Rolandone et al. (2004),0,44,22,171.213,171.382,160.51,161.543,161.543,172.81,90.263,Qoa,370.789,0,CGS geologic map,Matthews and Burnett (1965),NSMP,0.006043575,0.007672561,0.008836462,0.013099638,0.019924708,0.015444636,0.004033241
7,1,San Simeon,12,23,2003,Morgan Hill - El Toro Fire Station,1758,NP,48,37.141,-121.663,6.5,303,56,76,Reverse,35.706,-121.102,4.7,1,Rolandone et al. (2004),0,44,22,166.972,167.145,154.513,155.585,155.585,109.084,42.166,QT,438.339,0,NGA flatfile,PEER (2008),CESMD,0.00498263,0.005950798,0.008479658,0.010846474,0.010170595,0.010222035,0.002126499
8,1,San Simeon,12,23,2003,"Hollister - Airport, Bldg 3",1797,NP,65,36.891,-121.404,6.5,303,56,76,Reverse,35.706,-121.102,4.7,1,Rolandone et al. (2004),0,44,22,134.249,134.464,121.943,123.3,123.3,98.903,49.041,"Qal, deep (incl LA)",271.441,0,NGA flatfile,PEER (2008),CESMD,0.010627287,0.011198214,0.015849921,0.023979158,0.029048924,0.03231006,0.019395876
9,1,San Simeon,12,23,2003,Ventura - Oakview PacBell Fac,5403,NP,173,34.3968,-119.2987,6.5,303,56,76,Reverse,35.706,-121.102,4.7,1,Rolandone et al. (2004),0,44,22,219.545,219.676,185.391,185.391,185.656,-20.996,-173.497,"Qal, deep (incl LA)",271.441,0,CGS geologic map,Jennings and Strand (1969),NSMP,0.012364012,0.012803978,0.014875937,0.018064886,0.021105905,0.028848428,0.014157453
10,1,San Simeon,12,23,2003,Frazier Park - Post Office,5420,NP,177,34.812,-118.945,6.5,303,56,76,Reverse,35.706,-121.102,4.7,1,Rolandone et al. (2004),0,44,22,220.034,220.166,185.598,186.479,186.479,35.408,169.116,"Qal, thin",338.539,0,CGS geologic map,Jennings and Strand (1969),CESMD,0.006487203,0.006844794,0.010538928,0.013047605,0.019754746,0.017023513,0.00811241
11,1,San Simeon,12,23,2003,Santa Barbara - UCSB Goleta,25091,CE,509,34.422,-119.851,6.5,303,56,76,Reverse,35.706,-121.102,4.7,1,Rolandone et al. (2004),0,44,22,182.564,182.722,148.823,148.823,149.515,-47.806,-161.263,"Qal, thin",338.539,0,NGA flatfile,PEER (2008),CESMD,0.024548845,0.026698315,0.047399051,0.050167719,0.064715918,0.049102953,0.035531957
12,1,San Simeon,12,23,2003,Ventura - Harbor & California,25340,CE,511,34.276,-119.293,6.5,303,56,76,Reverse,35.706,-121.102,4.7,1,Rolandone et al. (2004),0,44,22,229.1,229.226,194.93,194.93,195.292,-31.67,-170.65,"Qal, deep (incl LA)",271.441,0,NGA flatfile,PEER (2008),CESMD,0.018914188,0.019722069,0.026829089,0.029617562,0.045424663,0.066472852,0.03638736
13,1,San Simeon,12,23,2003,Santa Barbara - Hwy 101 & State,25423,CE,512,34.439,-119.756,6.5,303,56,76,Reverse,35.706,-121.102,4.7,1,Rolandone et al. (2004),0,44,22,186.676,186.831,152.715,152.715,153.303,-41.269,-164.322,Qoa,370.789,0,CGS geologic map,Jennings and Strand (1969),CESMD,0.021208154,0.02153323,0.028372522,0.036292148,0.052381294,0.042701522,0.035749545
14,1,San Simeon,12,23,2003,Santa Barbara - San Roque Canyon Bridge,25749,CE,513,34.45,-119.734,6.5,303,56,76,Reverse,35.706,-121.102,4.7,1,Rolandone et al. (2004),0,44,22,187.087,187.241,153.076,153.076,153.635,-39.111,-165.197,"Qal, thin",338.539,0,CGS geologic map,Jennings and Strand (1969),CESMD,0.014207824,0.014791552,0.019996,0.020210888,0.030452586,0.030124077,0.047315959
15,1,San Simeon,12,23,2003,Santa Barbara - Junipero & Castillo,25782,CE,514,34.43,-119.724,6.5,303,56,76,Reverse,35.706,-121.102,4.7,1,Rolandone et al. (2004),0,44,22,189.361,189.514,155.366,155.366,155.933,-40.407,-164.925,Qoa,370.789,0,CGS geologic map,Jennings and Strand (1969),CESMD,0.011775443,0.01214084,0.014218298,0.020806249,0.019168464,0.032897416,0.024973986
16,1,San Simeon,12,23,2003,Ojai - Ojai Av & Fairway Ln,25854,CE,515,34.448,-119.23,6.5,303,56,76,Reverse,35.706,-121.102,4.7,1,Rolandone et al. (2004),0,44,22,220.608,220.739,186.533,186.533,186.706,-12.709,-176.093,"Qal, thin",338.539,0,CGS geologic map,Jennings and Strand (1969),CESMD,0.016080027,0.016602711,0.021384574,0.032608281,0.034676072,0.034013527,0.023612497
17,1,San Simeon,12,23,2003,Lompoc - Hwy 1 & El Jaro Creek,26971,CE,517,34.519,-120.328,6.5,303,56,76,Reverse,35.706,-121.102,4.7,1,Rolandone et al. (2004),0,44,22,149.42,149.613,117.606,117.606,118.755,-63.877,-147.102,"Qal, thin",338.539,0,CGS geologic map,Jennings (1959),CESMD,0.022263056,0.026308934,0.040489999,0.044004545,0.069064028,0.02327402,0.015949922
18,1,San Simeon,12,23,2003,Buttonwillow - Hwy 58 & Wasco,35219,CE,518,35.403,-119.449,6.5,303,56,76,Reverse,35.706,-121.102,4.7,1,Rolandone et al. (2004),0,44,22,153.654,153.842,119.782,121.163,121.163,62.543,150.093,"Qal, deep (incl LA)",271.441,0,CGS geologic map,Smith (1964),CESMD,0.038036863,0.03888213,0.043798173,0.06045428,0.079526725,0.102747263,0.04383526
19,1,San Simeon,12,23,2003,Bakersfield - Stockdale & California,35365,CE,519,35.355,-119.054,6.5,303,56,76,Reverse,35.706,-121.102,4.7,1,Rolandone et al. (2004),0,44,22,189.873,190.025,156.088,157.15,157.15,78.882,150.806,"Qal, deep (incl LA)",271.441,0,CGS geologic map,Smith (1964),CESMD,0.007410185,0.007956632,0.018199725,0.016896153,0.020432817,0.011502174,0.005583476
20,1,San Simeon,12,23,2003,San Luis Obispo - Lopez Lake Grounds,36153,CE,521,35.208,-120.457,6.5,303,56,76,Reverse,35.706,-121.102,4.7,1,Rolandone et al. (2004),0,44,22,80.513,80.871,46.342,46.342,46.81,-7.54,-170.636,Tss,477.652,0,CGS geologic map,Jennings (1958),CESMD,0.122380284,0.211063971,0.302866307,0.188480768,0.126996063,0.104990952,0.057068906
21,1,San Simeon,12,23,2003,Point Buchon - Los Osos,36427,CE,538,35.274,-120.885,6.5,303,56,76,Reverse,35.706,-121.102,4.7,1,Rolandone et al. (2004),0,44,22,51.818,52.372,25.296,25.296,27.349,-23.475,-111.871,QT,438.339,0,CGS geologic map,Jennings (1958),CESMD,0.071767745,0.133985074,0.157461106,0.108498848,0.124559223,0.073890865,0.077531929
22,1,San Simeon,12,23,2003,Cambria - Hwy 1 Caltrans Bridge Grnds,37737,CE,568,35.593,-121.124,6.5,303,56,76,Reverse,35.706,-121.102,4.7,1,Rolandone et al. (2004),0,44,22,12.694,14.796,6.373,6.373,8.916,-6.373,-90,"Qal, thin",338.539,0,CGS geologic map,Jennings (1958),CESMD,0.1501623,0.325253747,0.425487955,0.339364111,0.240757139,0.154996774,0.047702411
23,1,San Simeon,12,23,2003,Mendota - Fire Station,46073,CE,569,36.755,-120.382,6.5,303,56,76,Reverse,35.706,-121.102,4.7,1,Rolandone et al. (2004),0,44,22,133.201,133.418,125.48,126.798,126.798,137.766,89.171,"Qal, deep (incl LA)",271.441,0,CGS geologic map,Rogers (1965),CESMD,0.007932094,0.008250697,0.013669309,0.014835768,0.012796484,0.023272731,0.015307514
24,1,San Simeon,12,23,2003,San Juan Bautista - Fire Station,47126,CE,573,36.846,-121.536,6.5,303,56,76,Reverse,35.706,-121.102,4.7,1,Rolandone et al. (2004),0,44,22,132.357,132.575,119.904,121.283,121.283,88.193,43.533,Qoa,370.789,0,NGA flatfile,PEER (2008),CESMD,0.009145484,0.009565772,0.013482581,0.016380476,0.020612618,0.02345549,0.008142481
25,1,San Simeon,12,23,2003,Salinas - City Yard,47179,CE,575,36.671,-121.642,6.5,303,56,76,Reverse,35.706,-121.102,4.7,1,Rolandone et al. (2004),0,44,22,117.564,117.809,105.106,106.677,106.677,66.797,36.62,"Qal, deep (incl LA)",271.441,0,NGA flatfile,PEER (2008),CESMD,0.017292201,0.019346834,0.041894152,0.035022992,0.036949154,0.041708273,0.029247906
26,1,San Simeon,12,23,2003,Moss Landing - Hwy 1 & Dolan Rd,47216,CE,576,36.807,-121.778,6.5,303,56,76,Reverse,35.706,-121.102,4.7,1,Rolandone et al. (2004),0,44,22,136.421,136.632,124,125.334,125.334,72.589,33.818,"Qal, deep (incl LA)",271.441,0,CGS geologic map,Jennings and Strand (1958),CESMD,0.011855934,0.013162067,0.019299741,0.024447495,0.022762908,0.027785428,0.02919726
27,1,San Simeon,12,23,2003,Greenfield - Police Station,47460,CE,583,36.321,-121.243,6.5,303,56,76,Reverse,35.706,-121.102,4.7,1,Rolandone et al. (2004),0,44,22,69.409,69.824,57.17,60.009,60.009,54.524,54.743,"Qal, deep (incl LA)",271.441,0,CGS geologic map,Jennings and Strand (1958),CESMD,0.018626774,0.037957608,0.043306351,0.049622072,0.051434813,0.036492739,0.021391587
28,1,San Simeon,12,23,2003,Hollister - South St & Pine Dr,47524,CE,584,36.848,-121.397,6.5,303,56,76,Reverse,35.706,-121.102,4.7,1,Rolandone et al. (2004),0,44,22,129.451,129.674,117.14,118.551,118.551,95.295,49.058,Qoa,370.789,0,NGA flatfile,PEER (2008),CESMD,0.015640917,0.016737383,0.031923032,0.037592153,0.039489239,0.033972636,0.030493934
29,1,San Simeon,12,23,2003,Salinas - County Hospital Grounds,47762,CE,586,36.697,-121.634,6.5,303,56,76,Reverse,35.706,-121.102,4.7,1,Rolandone et al. (2004),0,44,22,119.905,120.146,107.436,108.973,108.973,69.591,37.441,"Qal, deep (incl LA)",271.441,0,CGS geologic map,Jennings and Strand (1958),CESMD,0.016139785,0.017159545,0.030423675,0.038312792,0.040792156,0.037795238,0.027226458
